 epoch, iteration, loss, time
 0,    0, 5.118, 0.830
 0,    1, 4.519, 1.078
 0,  500, 4.588, 131.959
 0, 1000, 3.896, 263.152
 0, 1500, 3.759, 394.250
 0, 2000, 3.727, 525.325
 0, 2500, 4.033, 656.450
 0, 3000, 3.749, 787.606
 0, 3500, 3.620, 918.815
 0, 4000, 3.547, 1049.982
 0, 4500, 3.559, 1181.154
 0, 5000, 3.511, 1312.316
 0, 5500, 3.513, 1445.184
 0, 6000, 3.501, 1579.365
 0, 6500, 3.491, 1716.888
 1,    0, 2.914, 0.334
 1,    1, 2.923, 0.581
 1,  500, 3.244, 132.532
 1, 1000, 3.439, 264.082
 1, 1500, 3.279, 395.726
 1, 2000, 3.255, 527.293
 1, 2500, 3.255, 658.825
 1, 3000, 3.238, 790.445
 1, 3500, 3.241, 922.131
 1, 4000, 3.249, 1053.824
 1, 4500, 3.227, 1185.469
 1, 5000, 3.245, 1316.989
 1, 5500, 3.212, 1448.690
 1, 6000, 3.210, 1580.501
 1, 6500, 3.230, 1712.096
 2,    0, 2.873, 0.329
 2,    1, 2.779, 0.578
 2,  500, 2.844, 132.440
 2, 1000, 2.874, 263.920
 2, 1500, 2.871, 395.597
 2, 2000, 2.918, 527.241
 2, 2500, 2.875, 658.901
 2, 3000, 2.937, 790.549
 2, 3500, 2.941, 922.184
 2, 4000, 2.952, 1053.828
 2, 4500, 2.933, 1185.483
 2, 5000, 2.911, 1317.156
 2, 5500, 2.961, 1448.784
 2, 6000, 2.963, 1580.152
 2, 6500, 2.944, 1711.499
 3,    0, 3.086, 0.346
 3,    1, 3.375, 0.595
 3,  500, 2.583, 132.674
 3, 1000, 2.592, 263.980
 3, 1500, 2.594, 395.256
 3, 2000, 2.569, 526.533
 3, 2500, 2.615, 657.944
 3, 3000, 2.630, 789.407
 3, 3500, 2.623, 920.692
 3, 4000, 2.632, 1051.931
 3, 4500, 2.620, 1183.259
 3, 5000, 2.663, 1314.791
 3, 5500, 2.691, 1446.354
 3, 6000, 2.691, 1577.869
 3, 6500, 2.658, 1709.264
 4,    0, 1.852, 0.333
 4,    1, 2.744, 0.582
 4,  500, 2.199, 132.680
 4, 1000, 2.287, 263.922
 4, 1500, 2.311, 395.647
 4, 2000, 2.292, 527.411
 4, 2500, 2.306, 659.259
 4, 3000, 2.369, 790.768
 4, 3500, 2.403, 922.562
 4, 4000, 2.388, 1054.333
 4, 4500, 2.360, 1186.048
 4, 5000, 2.348, 1317.744
 4, 5500, 2.408, 1449.472
 4, 6000, 2.418, 1581.400
 4, 6500, 2.416, 1713.169
 5,    0, 1.936, 0.338
 5,    1, 2.171, 0.587
 5,  500, 1.982, 132.404
 5, 1000, 2.032, 263.797
 5, 1500, 2.046, 397.751
 5, 2000, 2.090, 532.795
 5, 2500, 2.062, 667.712
 5, 3000, 2.122, 802.829
 5, 3500, 2.114, 938.061
 5, 4000, 2.066, 1073.176
 5, 4500, 2.091, 1208.327
 5, 5000, 2.147, 1343.491
 5, 5500, 2.153, 1476.140
 5, 6000, 2.127, 1608.290
 5, 6500, 2.098, 1743.371
 6,    0, 1.055, 0.328
 6,    1, 1.260, 0.575
 6,  500, 1.767, 135.111
 6, 1000, 1.781, 267.363
 6, 1500, 1.772, 398.836
 6, 2000, 1.784, 530.373
 6, 2500, 1.846, 661.869
 6, 3000, 1.879, 793.392
 6, 3500, 1.789, 924.945
 6, 4000, 1.868, 1056.548
 6, 4500, 1.878, 1188.004
 6, 5000, 1.853, 1319.495
 6, 5500, 1.888, 1450.910
 6, 6000, 1.886, 1582.405
 6, 6500, 1.906, 1714.160
 7,    0, 0.976, 0.331
 7,    1, 0.791, 0.580
 7,  500, 1.510, 133.245
 7, 1000, 1.542, 264.822
 7, 1500, 1.594, 396.767
 7, 2000, 1.581, 531.400
 7, 2500, 1.581, 666.021
 7, 3000, 1.637, 799.321
 7, 3500, 1.649, 933.222
 7, 4000, 1.555, 1065.124
 7, 4500, 1.631, 1196.560
 7, 5000, 1.651, 1329.371
 7, 5500, 1.720, 1464.043
 7, 6000, 1.710, 1598.661
 7, 6500, 1.746, 1733.306
 8,    0, 0.404, 0.327
 8,    1, 1.743, 0.577
 8,  500, 1.332, 133.093
 8, 1000, 1.355, 266.823
 8, 1500, 1.407, 399.579
 8, 2000, 1.410, 533.582
 8, 2500, 1.388, 667.581
 8, 3000, 1.427, 801.527
 8, 3500, 1.463, 935.516
 8, 4000, 1.435, 1069.396
 8, 4500, 1.452, 1203.275
 8, 5000, 1.499, 1337.247
 8, 5500, 1.535, 1471.162
 8, 6000, 1.448, 1605.126
 8, 6500, 1.523, 1739.052
 9,    0, 1.187, 0.331
 9,    1, 2.539, 0.581
 9,  500, 1.253, 132.441
 9, 1000, 1.279, 263.952
 9, 1500, 1.262, 395.436
 9, 2000, 1.258, 530.715
 9, 2500, 1.193, 666.000
 9, 3000, 1.236, 801.298
 9, 3500, 1.257, 936.742
 9, 4000, 1.312, 1072.094
 9, 4500, 1.320, 1207.433
 9, 5000, 1.266, 1342.721
 9, 5500, 1.257, 1477.944
 9, 6000, 1.319, 1613.297
 9, 6500, 1.326, 1748.650