epoch, iteration, loss, time
 0,    0, 12.28, 0.519
 0,    1, 14.04, 0.770
 0,  500, 4.819, 133.952
 0, 1000, 3.949, 267.591
 0, 1500, 3.790, 401.229
 0, 2000, 3.655, 534.840
 0, 2500, 3.685, 667.590
 0, 3000, 3.679, 798.793
 0, 3500, 3.604, 931.907
 0, 4000, 3.583, 1065.738
 0, 4500, 3.613, 1199.545
 0, 5000, 3.622, 1333.304
 0, 5500, 3.599, 1467.121
 0, 6000, 3.543, 1600.984
 0, 6500, 3.596, 1734.862
 1,    0, 3.569, 0.342
 1,    1, 3.041, 0.590
 1,  500, 3.233, 132.278
 1, 1000, 3.222, 263.845
 1, 1500, 3.263, 395.462
 1, 2000, 3.254, 527.035
 1, 2500, 3.286, 658.647
 1, 3000, 3.251, 790.243
 1, 3500, 3.265, 921.749
 1, 4000, 3.314, 1053.218
 1, 4500, 3.284, 1184.533
 1, 5000, 3.284, 1316.119
 1, 5500, 3.292, 1447.530
 1, 6000, 3.312, 1578.902
 1, 6500, 3.299, 1710.499
 2,    0, 3.512, 0.345
 2,    1, 2.931, 0.604
 2,  500, 2.840, 132.384
 2, 1000, 2.912, 263.958
 2, 1500, 2.911, 395.582
 2, 2000, 2.966, 527.255
 2, 2500, 2.911, 658.886
 2, 3000, 2.938, 790.516
 2, 3500, 2.948, 921.895
 2, 4000, 2.962, 1053.274
 2, 4500, 2.968, 1184.699
 2, 5000, 2.958, 1316.281
 2, 5500, 3.004, 1447.955
 2, 6000, 2.971, 1579.410
 2, 6500, 3.013, 1710.871
 3,    0, 2.791, 0.333
 3,    1, 3.322, 0.581
 3,  500, 2.525, 132.518
 3, 1000, 2.537, 263.868
 3, 1500, 2.653, 395.110
 3, 2000, 2.614, 526.486
 3, 2500, 2.565, 657.939
 3, 3000, 2.603, 789.542
 3, 3500, 2.636, 920.997
 3, 4000, 2.632, 1052.377
 3, 4500, 2.737, 1183.756
 3, 5000, 2.684, 1315.184
 3, 5500, 2.705, 1446.585
 3, 6000, 2.710, 1578.051
 3, 6500, 2.694, 1709.585
 4,    0, 2.586, 0.333
 4,    1, 1.539, 0.581
 4,  500, 2.246, 132.557
 4, 1000, 2.258, 263.720
 4, 1500, 2.235, 395.248
 4, 2000, 2.338, 526.789
 4, 2500, 2.332, 658.400
 4, 3000, 2.376, 790.084
 4, 3500, 2.318, 921.691
 4, 4000, 2.329, 1053.328
 4, 4500, 2.404, 1184.795
 4, 5000, 2.441, 1316.461
 4, 5500, 2.395, 1448.124
 4, 6000, 2.409, 1579.637
 4, 6500, 2.407, 1710.957
 5,    0, 2.176, 0.326
 5,    1, 3.126, 0.576
 5,  500, 2.001, 132.882
 5, 1000, 1.989, 264.450
 5, 1500, 2.065, 396.180
 5, 2000, 2.045, 527.939
 5, 2500, 2.104, 659.773
 5, 3000, 1.990, 791.420
 5, 3500, 2.016, 923.099
 5, 4000, 2.164, 1054.699
 5, 4500, 2.132, 1186.275
 5, 5000, 2.114, 1317.949
 5, 5500, 2.145, 1449.708
 5, 6000, 2.130, 1581.579
 5, 6500, 2.144, 1713.425
 6,    0, 3.235, 0.325
 6,    1, 2.160, 0.575
 6,  500, 1.814, 132.534
 6, 1000, 1.893, 264.156
 6, 1500, 1.739, 395.665
 6, 2000, 1.783, 527.259
 6, 2500, 1.851, 658.899
 6, 3000, 1.825, 790.755
 6, 3500, 1.809, 922.599
 6, 4000, 1.866, 1054.221
 6, 4500, 1.840, 1185.844
 6, 5000, 1.860, 1317.707
 6, 5500, 1.888, 1449.626
 6, 6000, 1.941, 1581.525
 6, 6500, 1.896, 1713.374
 7,    0, 0.642, 0.331
 7,    1, 1.759, 0.581
 7,  500, 1.631, 132.669
 7, 1000, 1.610, 264.548
 7, 1500, 1.534, 396.443
 7, 2000, 1.619, 528.293
 7, 2500, 1.649, 660.169
 7, 3000, 1.590, 791.997
 7, 3500, 1.557, 923.815
 7, 4000, 1.640, 1055.688
 7, 4500, 1.628, 1187.526
 7, 5000, 1.651, 1319.391
 7, 5500, 1.674, 1451.232
 7, 6000, 1.737, 1582.953
 7, 6500, 1.632, 1714.649
 8,    0, 0.842, 0.327
 8,    1, 0.109, 0.575
 8,  500, 1.412, 132.832
 8, 1000, 1.401, 264.512
 8, 1500, 1.459, 396.080
 8, 2000, 1.415, 527.643
 8, 2500, 1.460, 659.146
 8, 3000, 1.411, 790.836
 8, 3500, 1.482, 922.655
 8, 4000, 1.512, 1054.458
 8, 4500, 1.423, 1186.263
 8, 5000, 1.426, 1318.053
 8, 5500, 1.448, 1449.835
 8, 6000, 1.510, 1581.642
 8, 6500, 1.495, 1713.299
 9,    0, 0.784, 0.333
 9,    1, 0.947, 0.581
 9,  500, 1.254, 133.035
 9, 1000, 1.284, 264.575
 9, 1500, 1.269, 395.978
 9, 2000, 1.283, 527.433
 9, 2500, 1.202, 658.858
 9, 3000, 1.296, 790.440
 9, 3500, 1.252, 922.077
 9, 4000, 1.263, 1053.678
 9, 4500, 1.282, 1185.268
 9, 5000, 1.321, 1316.873
 9, 5500, 1.305, 1448.487
 9, 6000, 1.362, 1580.052
 9, 6500, 1.353, 1711.598